用户ID,用户名,所在地,性别,认证状态,认证类型,认证理由,个人描述,信用等级,公司,学校,生日,创建时间,粉丝数,关注数,微博数,获评转赞总数,获评论数,获转发数,获点赞数
2485720827,-倔强的小猪-,北京 朝阳区,男,未认证,未知,无,,信用极好,未知,未知,1971-05-12 金牛座,2012-01-11 14:29:59,1400,1699,16570,451,283,25,143
1779093837,-像风没有形状-,其他,女,未认证,未知,无,有话好好说,信用极好,未知,未知,双子座,2010-07-19 16:48:17,821,490,4310,8775,"6,722",139,"1,914"
5490059817,-啊啾奶思兔-,天津,女,未认证,普通用户,无,Live My Own Life. 🌟,信用较好,未知,未知,天秤座,2015-01-21 23:24:56,137,1062,2524,2618,996,29,"1,593"
1855858133,-明月-松间照-,四川,女,未认证,普通用户,无,我仍是我,信用较好,未知,未知,天秤座,2010-11-12 15:28:46,412,468,1934,4841,"3,899",236,706
2156409027,0202号哈哈大王,其他,女,未认证,普通用户,无,我还有多少班要加？我还有很多废话要说。,信用较好,未知,未知,摩羯座,2011-05-31 14:59:16,216,544,3878,2065,570,"1,014",481
3167537150,0skopeAhiro,上海,男,未认证,普通用户,无,世界是真的改变了,信用极好,有上顿没下顿,山东蓝翔高级技工学校,1900-01-31 水瓶座,2013-02-13 19:19:27,1219,467,1736,4008,"2,158",419,"1,431"
5767542703,1219孤雨,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2015-11-20 23:34:51,34,159,1582,1414,742,19,653
2711451051,2021我是福将,浙江 杭州,女,未认证,普通用户,无,,信用较好,未知,未知, ,2012-04-18 09:18:45,63,241,1280,2,2,0,0
5481829342,2025竹林听雨一切安好,四川 成都,男,未认证,普通用户,无,,信用较好,社会,未知, ,2015-01-15 21:02:42,105,4616,9219,854,574,31,249
6851002833,223号设计人,其他,男,未认证,普通用户,无,但为君故,信用较好,未知,未知, ,2018-11-15 11:10:41,84,320,363,997,636,40,321
6617575883,23年的202525,其他,男,未认证,普通用户,无,,信用较好,未知,未知,2000-02-29 双鱼座,2018-07-31 10:10:11,21,159,1262,21,4,1,16
5162606393,24Neiizou,福建,女,未认证,普通用户,无,没事儿走两步,信用较好,未知,未知,2000-04-04 白羊座,2014-05-31 23:25:56,252,464,1023,2137,"1,114",22,"1,001"
7807252632,33姗姗今天学习了,广东,女,未认证,普通用户,无,,信用较好,未知,未知,1993-12-10 射手座,2022-12-10 22:10:08,1,591,671,36,35,0,1
6300836681,3王子的聪明猫,海外,女,未认证,普通用户,无,离我远点！,信用较好,未知,未知, ,2017-06-29 13:33:59,104,332,6283,4606,"1,454",201,"2,951"
6834231852,3雪风6,福建 福州,女,未认证,普通用户,无,,信用较好,未知,未知,2001-10-07 天秤座,2018-11-10 17:18:56,6,207,3397,671,211,9,451
6375543020,550W-015,其他,男,未认证,普通用户,无,不要关上窗，飞鸟会衔来爱意，衔走死亡,信用较好,未知,未知, ,2017-10-02 13:23:37,38,361,521,532,176,0,356
7513264269,6666jinjin,重庆 合川区,女,未认证,普通用户,无,,信用较好,未知,未知,2000-02-03 水瓶座,2020-10-15 13:44:09,97,571,1424,1605,469,14,"1,122"
5898223953,72ming,陕西 西安,男,未认证,普通用户,无,,信用较好,未知,未知,1972-01-02 摩羯座,2016-04-13 20:45:03,63,441,646,94,14,0,80
7612691641,96年老阿姨86647720,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2021-05-21 19:54:17,48,397,101109,711,150,10,551
5274556992,A-淘宝省钱达人,福建,女,未认证,普通用户,无,先领劵 后下单 送红包 少花钱 省更多,信用较好,未知,未知,巨蟹座,2014-09-01 00:22:54,208,3114,1846,992,539,43,410
7705960448,AAA芒果批发王姐,北京,女,未认证,普通用户,无,镇魂,信用较好,未知,未知,2002-12-04 射手座,2021-09-27 10:53:10,2,374,251,4,0,0,4
7505903859,AAaa哎呦喂啦_,其他,女,未认证,普通用户,无,离开我的主页谢谢🥰,信用较好,未知,未知, ,2020-09-24 08:50:53,5,145,1115,1373,607,3,763
3069700603,AKira-Takeda_,其他,男,未认证,普通用户,无,IR scholastic,信用较好,其它,辽宁科技大学,水瓶座,2012-10-27 14:31:53,411,105,123,597,130,2,465
7203207499,ARKSPARKS,湖北 武汉,男,未认证,普通用户,无,,信用较好,未知,未知,白羊座,2019-06-21 20:30:50,66,379,2483,328,52,5,271
5618204198,AT大西洋时间,北京,男,未认证,普通用户,无,我永远爱双部长,信用较好,未知,未知,狮子座,2015-05-26 13:13:00,288,246,16634,4万,"8,953","22,992","8,030"
5796359404,Accioaw,北京,女,未认证,普通用户,无,,信用较好,未知,北京第二外国语学院,2002-08-01 狮子座,2015-12-17 21:22:11,1519,402,2697,2847,664,77,"2,106"
6791706730,Aimerryhh,湖北,男,未认证,普通用户,无,,信用较好,未知,未知,1998-04-04 白羊座,2018-10-23 20:25:23,41,2195,1188,139,58,6,75
2243026094,Amberseesherself,其他,女,未认证,普通用户,无,轻舟已过万重山。,信用极好,未知,未知,白羊座,2011-07-13 01:05:43,282,29,5851,8141,"2,061","3,049","3,031"
1323573660,Amy_白羊,江苏 南京,女,未认证,普通用户,无,小胖一枚~~,信用较好,未知,Brunel,,2011-02-07 13:30:29,36,917,3608,1508,586,678,244
2348708393,Anatoleecho,上海 浦东新区,女,未认证,普通用户,无,,信用较好,学校,未知,,2011-09-08 16:15:30,190,357,1188,1852,"1,501",82,269
1779136585,Annika张小佳,浙江 宁波,女,未认证,未知,无,我是狮子女…,信用极好,未知,同济大学浙江学院,狮子座,2010-07-19 17:23:48,331,5078,13079,1933,"1,607",155,171
6122087605,Ariel_Dovis,其他,男,未认证,普通用户,无,对自己狠一点！,信用较好,未知,未知, ,2017-02-19 16:38:25,39,444,333,41,16,1,24
1906437874,Bethhhh_Wang,上海 杨浦区,女,未认证,普通用户,无,Brainy is the new sexy.,信用较好,未知,上海交通大学,1995-01-23 水瓶座,2010-12-24 19:04:34,912,233,12368,8093,"4,023","3,270",800
5534230037,BuHao_708090,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2015-02-25 21:54:53,44,414,363,22,10,1,11
5281540836,Chail_,海外,女,未认证,普通用户,无,我什么时候能够获得一颗神奇药丸🫤,信用较好,未知,未知,1994-12-26 摩羯座,2014-09-03 11:47:45,239,278,3814,7735,"3,252",92,"4,391"
5206470575,ChiangukLim,广东 汕头,男,未认证,普通用户,无,点赞/转发只是收藏无关立场 希望做一个认真的人,信用较好,未知,未知,1998-05-09 金牛座,2014-07-06 08:54:00,734,5177,74006,3284,577,963,"1,744"
6298213458,Cooosy_,北京,女,未认证,普通用户,无,最后都会有好结果的，如果还没有，那就是还没到最后。,信用较好,未知,未知, ,2017-07-02 22:02:06,270,1183,7832,6767,"3,014",51,"3,702"
2720114643,Coyle懿,云南 昆明,男,未认证,普通用户,无,,信用极好,未知,未知,1991-08-03 狮子座,2012-04-24 21:31:00,102,287,887,261,152,89,20
7770919471,DO06-,海南,女,未认证,普通用户,无,,信用较好,未知,未知,1999-07-08 巨蟹座,2022-07-08 14:15:10,778,3173,2602,418,383,7,28
